Temperatura média:    26.32022727272717
Umidade média:        63.32727272727273
mq3 média:            252.3840909090909
mq4 média:            427.00454545454545
mq7 média:            120.42727272727272
mq8 média:            188.8409090909091
mq135 média:          864.209090909091

24.20,78.00,303,518,125,214,889
26.50,62.00,249,426,120,186,863,Sat Dec 28 19:28:19 2024
26.50,62.00,248,425,120,186,863,Sat Dec 28 19:28:29 2024
26.50,62.00,248,426,121,186,863,Sat Dec 28 19:28:39 2024
26.50,62.00,248,426,120,186,864,Sat Dec 28 19:28:49 2024
26.50,62.00,248,425,120,188,863,Sat Dec 28 19:28:59 2024
26.50,62.00,248,425,121,188,864,Sat Dec 28 19:29:09 2024
26.50,62.00,248,424,120,188,864,Sat Dec 28 19:29:19 2024
26.50,62.00,248,423,120,188,865,Sat Dec 28 19:29:29 2024
26.50,62.00,248,423,120,188,866,Sat Dec 28 19:29:40 2024
26.50,62.00,248,423,121,187,865,Sat Dec 28 19:29:50 2024
26.50,62.00,248,422,121,188,865,Sat Dec 28 19:30:00 2024
26.50,62.00,248,422,120,189,865,Sat Dec 28 19:30:10 2024
26.50,62.00,247,421,121,189,865,Sat Dec 28 19:30:20 2024
26.50,62.00,247,421,120,189,866,Sat Dec 28 19:30:30 2024
26.50,62.00,247,421,120,189,866,Sat Dec 28 19:30:40 2024
26.50,62.00,247,420,120,189,866,Sat Dec 28 19:30:50 2024
26.50,62.00,248,419,120,188,866,Sat Dec 28 19:31:00 2024
26.50,62.00,248,419,120,188,866,Sat Dec 28 19:31:10 2024
26.50,62.00,247,420,121,187,865,Sat Dec 28 19:31:20 2024
26.50,62.00,248,421,120,187,865,Sat Dec 28 19:31:30 2024
26.50,62.00,247,420,120,188,866,Sat Dec 28 19:31:40 2024
26.50,61.00,247,419,120,188,865,Sat Dec 28 19:31:50 2024
26.50,61.00,247,418,121,189,866,Sat Dec 28 19:32:00 2024
26.50,61.00,247,419,120,189,866,Sat Dec 28 19:32:10 2024
26.50,61.00,248,419,120,189,866,Sat Dec 28 19:32:20 2024
26.50,61.00,246,420,121,189,866,Sat Dec 28 19:32:30 2024
26.50,61.00,247,421,120,189,866,Sat Dec 28 19:32:40 2024
26.50,61.00,247,421,120,188,866,Sat Dec 28 19:32:50 2024
26.50,61.00,247,421,121,187,866,Sat Dec 28 19:33:00 2024
26.50,61.00,247,421,121,187,866,Sat Dec 28 19:33:10 2024
26.50,61.00,247,421,120,187,866,Sat Dec 28 19:33:20 2024
26.50,61.00,247,421,120,188,865,Sat Dec 28 19:33:30 2024
26.50,61.00,247,422,120,187,866,Sat Dec 28 19:33:40 2024
26.50,61.00,246,420,120,188,866,Sat Dec 28 19:33:50 2024
26.50,61.00,245,419,121,188,865,Sat Dec 28 19:34:00 2024
26.50,61.00,245,419,120,189,866,Sat Dec 28 19:34:11 2024
26.50,61.00,245,417,121,190,866,Sat Dec 28 19:34:21 2024
26.50,62.00,245,417,120,190,866,Sat Dec 28 19:34:31 2024
26.50,62.00,245,418,120,189,866,Sat Dec 28 19:34:41 2024
26.50,62.00,246,419,120,189,867,Sat Dec 28 19:34:51 2024
26.50,62.00,247,419,121,190,866,Sat Dec 28 19:35:01 2024
26.50,62.00,248,421,121,188,865,Sat Dec 28 19:35:11 2024
26.50,61.00,248,422,121,188,866,Sat Dec 28 19:35:21 2024
26.50,61.00,247,423,120,188,866,Sat Dec 28 19:35:31 2024
